Debug.js:127 [673] livestat start 
Debug.js:127 [833] livestat loadend index: NaN time passed: 0.023 
Debug.js:127 [834] livestat loadend index: NaN time passed: 0.020 
Debug.js:127 [29949] livestat timeupdate delay: 4.312 buffer: 2.831 throughput: 19016.000 
Debug.js:127 [30201] livestat timeupdate delay: 4.311 buffer: 3.578 throughput: 19016.000 
Debug.js:127 [30202] livestat timeupdate delay: 4.312 buffer: 3.578 throughput: 19016.000 
Debug.js:127 [30699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [30700] livestat timeupdate delay: 4.313 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [31198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 19016.000 
Debug.js:127 [31199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 19016.000 
Debug.js:127 [31452] livestat timeupdate delay: 4.314 buffer: 3.330 throughput: 19016.000 
Debug.js:127 [31453] livestat timeupdate delay: 4.315 buffer: 3.330 throughput: 19016.000 
Debug.js:127 [31954] livestat timeupdate delay: 4.311 buffer: 3.825 throughput: 19016.000 
Debug.js:127 [31955] livestat timeupdate delay: 4.312 buffer: 3.825 throughput: 19016.000 
Debug.js:127 [32198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 19016.000 
Debug.js:127 [32199] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 19016.000 
Debug.js:127 [32698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [32699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [32948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 19016.000 
Debug.js:127 [32949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 19016.000 
Debug.js:127 [33448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 19016.000 
Debug.js:127 [33449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 19016.000 
Debug.js:127 [33948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 19016.000 
Debug.js:127 [33949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 19016.000 
Debug.js:127 [34448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 19016.000 
Debug.js:127 [34449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 19016.000 
Debug.js:127 [34698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [34698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [34949] livestat timeupdate delay: 4.310 buffer: 3.830 throughput: 19016.000 
Debug.js:127 [34949] livestat timeupdate delay: 4.311 buffer: 3.830 throughput: 19016.000 
Debug.js:127 [35198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 19016.000 
Debug.js:127 [35199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 19016.000 
Debug.js:127 [35698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [35699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [35948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 19016.000 
Debug.js:127 [35949] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 19016.000 
Debug.js:127 [36198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 19016.000 
Debug.js:127 [36198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 19016.000 
Debug.js:127 [36448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 19016.000 
Debug.js:127 [36449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 19016.000 
Debug.js:127 [36492] livestat loadend index: 187916277 time passed: 6.103 
Debug.js:127 [36628] livestat loadend index: 187916277 time passed: 6.598 
Debug.js:127 [36948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 42017.000 
Debug.js:127 [36949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 42017.000 
Debug.js:127 [37448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 42017.000 
Debug.js:127 [37449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 42017.000 
Debug.js:127 [37701] livestat timeupdate delay: 4.311 buffer: 3.078 throughput: 42017.000 
Debug.js:127 [37701] livestat timeupdate delay: 4.311 buffer: 3.078 throughput: 42017.000 
Debug.js:127 [38198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 42017.000 
Debug.js:127 [38199] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 42017.000 
Debug.js:127 [38448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 42017.000 
Debug.js:127 [38449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 42017.000 
Debug.js:127 [38698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [38699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [39202] livestat timeupdate delay: 4.311 buffer: 3.577 throughput: 42017.000 
Debug.js:127 [39202] livestat timeupdate delay: 4.311 buffer: 3.577 throughput: 42017.000 
Debug.js:127 [39698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [39699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [40204] livestat timeupdate delay: 4.311 buffer: 3.575 throughput: 42017.000 
Debug.js:127 [40204] livestat timeupdate delay: 4.311 buffer: 3.575 throughput: 42017.000 
Debug.js:127 [40698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [40699] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [41198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 42017.000 
Debug.js:127 [41198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 42017.000 
Debug.js:127 [41448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 42017.000 
Debug.js:127 [41449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 42017.000 
Debug.js:127 [41698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [41699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [41948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 42017.000 
Debug.js:127 [41949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 42017.000 
Debug.js:127 [42448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 42017.000 
Debug.js:127 [42449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 42017.000 
Debug.js:127 [42948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 42017.000 
Debug.js:127 [42949] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 42017.000 
Debug.js:127 [43198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 42017.000 
Debug.js:127 [43198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 42017.000 
Debug.js:127 [43698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [43699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 42017.000 
Debug.js:127 [43948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 42017.000 
Debug.js:127 [43949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 42017.000 
Debug.js:127 [44198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 42017.000 
Debug.js:127 [44199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 42017.000 
Debug.js:127 [44483] livestat loadend index: 187916278 time passed: 6.089 
Debug.js:127 [44582] livestat loadend index: 187916278 time passed: 6.604 
Debug.js:127 [44699] livestat timeupdate delay: 4.311 buffer: 4.080 throughput: 41834.000 
Debug.js:127 [44700] livestat timeupdate delay: 4.312 buffer: 4.080 throughput: 41834.000 
Debug.js:127 [45198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 41834.000 
Debug.js:127 [45199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 41834.000 
Debug.js:127 [45453] livestat timeupdate delay: 4.311 buffer: 3.326 throughput: 41834.000 
Debug.js:127 [45453] livestat timeupdate delay: 4.311 buffer: 3.326 throughput: 41834.000 
Debug.js:127 [45948] livestat timeupdate delay: 4.311 buffer: 2.831 throughput: 41834.000 
Debug.js:127 [45949] livestat timeupdate delay: 4.312 buffer: 2.831 throughput: 41834.000 
Debug.js:127 [46209] livestat timeupdate delay: 4.311 buffer: 3.570 throughput: 41834.000 
Debug.js:127 [46210] livestat timeupdate delay: 4.311 buffer: 3.570 throughput: 41834.000 
Debug.js:127 [46707] livestat timeupdate delay: 4.310 buffer: 4.071 throughput: 41834.000 
Debug.js:127 [46708] livestat timeupdate delay: 4.311 buffer: 4.071 throughput: 41834.000 
Debug.js:127 [47198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 41834.000 
Debug.js:127 [47199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 41834.000 
Debug.js:127 [47698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 41834.000 
Debug.js:127 [47699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 41834.000 
Debug.js:127 [48199] livestat timeupdate delay: 4.311 buffer: 3.580 throughput: 41834.000 
Debug.js:127 [48200] livestat timeupdate delay: 4.312 buffer: 3.580 throughput: 41834.000 
Debug.js:127 [48698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 41834.000 
Debug.js:127 [48699] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 41834.000 
Debug.js:127 [48948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 41834.000 
Debug.js:127 [48949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 41834.000 
Debug.js:127 [49448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 41834.000 
Debug.js:127 [49449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 41834.000 
Debug.js:127 [49698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 41834.000 
Debug.js:127 [49699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 41834.000 
Debug.js:127 [50198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 41834.000 
Debug.js:127 [50199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 41834.000 
Debug.js:127 [50448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 41834.000 
Debug.js:127 [50448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 41834.000 
Debug.js:127 [50949] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 41834.000 
Debug.js:127 [50949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 41834.000 
Debug.js:127 [51199] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 41834.000 
Debug.js:127 [51200] livestat timeupdate delay: 4.313 buffer: 3.581 throughput: 41834.000 
Debug.js:127 [51449] livestat timeupdate delay: 4.311 buffer: 3.330 throughput: 41834.000 
Debug.js:127 [51449] livestat timeupdate delay: 4.311 buffer: 3.330 throughput: 41834.000 
Debug.js:127 [51948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 41834.000 
